Latin;English;References;English Latin Pair Matches;Misspelling
Angelus;Angel; E. 130:2. 282:4. 304. 867:3. 909. 998:4. 1001. 1087:3. 1111. 1166:3. 1183:2.;TRUE;
Angi;Anguish, To feel;;TRUE;
Anglia;England;;TRUE;
Anglicanus, Anglicus;English;;;
Anglus;Englishman;;TRUE;
Angor;Anguish;;TRUE;
Anguis;Snake;;TRUE;
Angularis;Cornerstone;;TRUE;
Angulatus;Angular (see Corner);;;
Angulus;Corner;;TRUE;
Angustare;Straiten;;;
Angustia;Straitness;;TRUE;
Angustus;Strait;;;
Anhelare;Pant;;TRUE;
Anima;Soul;;TRUE;
Animadvertentia;Animadversion (see Notice);;;
Animadvertere;Notice, To;;TRUE;
Animal;Animal;;TRUE;
Animalis;Animal;;;
Animare;Animate; D.Wis. 12.;TRUE;
Animatio;Animation;;TRUE;
Animosus;Courageous; D. 3228.;TRUE;
Animus;Mind;;TRUE;
Annihilare;Annihilate;;TRUE;
Annihilatio;Annihilation;;TRUE;
Annona;Provision;;;
Annuere;Assent, To; E. 1029:2.;;
Annulus;Ring, A;;;
Annuntiare;Announce; E. 324:9. 850:3. 910.;TRUE;
Annuntiatio;Annunciation;;TRUE;
Ansa;Handle, A; (opportunity). T. 430e.;;
Anser;Goose;;TRUE;
Ansula;Hook, A;;;
Antagonista;Opponent;;TRUE;
Ante;Before; A. 8194.;TRUE;
Antecedens;Antecedent; T. 360. 627:2.;TRUE;
Antediluvianus;Antediluvian;;TRUE;
Antemurale;Bulwark;;;
Anterior;Front;;TRUE;
Antesignanus;Leader;;TRUE;
Anthropophagus;Cannibal;;;
Antichristus;Antichrist;;TRUE;
Anticuria;Reception room;;;
Antipas;Antipas;;;
Antipatheticus;Antipathetic;;;
Antipathia;Antipathy; M.47a.;;
Antipodes;Antipodes;;TRUE;
Antiquissimus;Most Ancient;;TRUE;
Antiquitas;Antiquity (see Ancient);;;
Antiquus;Ancient;;;
Antistes;Leading man;;TRUE;
Antithalamum;Antechamber; M. 20.;TRUE;
Antlia pneumatica;Airpump;;;
Antlia;Pump, A;;;
Antonius;Anthony;;;
Antrorsum;In front (see Front);;;
Antrum;Cave, A;;;
Anus;Anus;;TRUE;
Anus;Old woman;;TRUE;
Anxietas;Anxiety;;TRUE;
Anxius;Anxious;;TRUE;
Aper;Boar; A.9335. C.J. 83.;TRUE;
Aperire;Open, To;;TRUE;
Aperitio;Opening, An;;;
Apertura;Aperture, An (see Open - aperire);;;
Apex;Accent, An;;;
Apiarium;Hive, A;;;
Apis;Bee; Docu.302. I. Par. 3.;TRUE;
Apocalypsis;Apocalypse;;TRUE;
Apollo;Apollo;;TRUE;
Apollyon;Apollyon;;TRUE;
Apoplexia;Apoplexy;;;
Apostema;Abscess;;TRUE;
Apostolicus;Apostolic; Coro. 59e.;TRUE;
Apostolus;Apostle;;TRUE;
Apothecarius;Apothecary;;;
Apotheosis;Apotheosis; T. 177:4.;TRUE;
Apparatus;Magnificence;;TRUE;
Apparens;Apparent;;TRUE;
Apparenter;Apparently;;TRUE;
Apparentia;Appearance; E.950. 1033:3.;TRUE;
Apparere;Appear;;TRUE;
Apparitio;Appearing, An;;;
Appelare;Call, To;;;TRUE
Appelatio;Calling, A;;;TRUE
Appelere;Apply, To;;;TRUE
Appendentia;Appendage;;TRUE;
Appendere;Weigh;;;
Appendix;Appendix; T. 516e. E. 200:5. 911:2. 912:2.;TRUE;
Apperceptibiliter;Perceptibly;;TRUE;
Apperceptio;Perception, Apperception;;TRUE;
Appercipere;Perceive, Apperceive, To;;;
Appetere;Appetite for, To have an; (to desire eagerly). A. 8568. E. 1022:2.;TRUE;
Appetibilis;Desirable;;TRUE;
Appetitio, Appetitus;Appetite;;;
Applanare;Level, To;;TRUE;
Applausibilitas;Praise;;TRUE;
Applicabilis;Applicable;;TRUE;
Applicare;Apply;;TRUE;
Applicatio;Application;;TRUE;
Apponere;Apply; T. 331:2.;TRUE;
Apprehendere;Apprehend;;TRUE;
Approbatio;Approbation;;TRUE;
Appropinquare;Approach, To;;;
Appropinquatio;Approach;;;
Appropriare;Appropriate;;TRUE;
Appropriatio;Appropriation;;TRUE;
Approximare;Approach, To;;;
